,additional_events,time,distance
0,0.019417475728155338,-100,9
1,0.13592233009708737,-95,9
2,-0.20388349514563106,-90,9
3,0.21359223300970873,-85,9
4,0.27184466019417475,-80,9
5,0.11650485436893204,-75,9
6,0.07766990291262135,-70,9
7,0.08737864077669903,-65,9
8,0.0,-60,9
9,0.1553398058252427,-55,9
10,0.009708737864077669,-50,9
11,-0.0970873786407767,-45,9
12,-0.0970873786407767,-40,9
13,0.02912621359223301,-35,9
14,0.0970873786407767,-30,9
15,0.30097087378640774,-25,9
16,0.1553398058252427,-20,9
17,0.20388349514563106,-15,9
18,0.21359223300970873,-10,9
19,0.24271844660194175,-5,9
20,0.24271844660194175,0,9
21,0.1650485436893204,5,9
22,-0.009708737864077669,10,9
23,-0.06796116504854369,15,9
24,-0.11650485436893204,20,9
25,-0.019417475728155338,25,9
26,-0.02912621359223301,30,9
27,-0.6504854368932039,-100,8
28,0.5145631067961165,-95,8
29,-0.42718446601941745,-90,8
30,0.1553398058252427,-85,8
31,0.009708737864077669,-80,8
32,0.7766990291262136,-75,8
33,0.34951456310679613,-70,8
34,0.009708737864077669,-65,8
35,-0.2912621359223301,-60,8
36,-0.1262135922330097,-55,8
37,0.13592233009708737,-50,8
38,0.18446601941747573,-45,8
39,-0.1941747572815534,-40,8
40,0.0970873786407767,-35,8
41,0.06796116504854369,-30,8
42,0.1262135922330097,-25,8
43,-0.14563106796116504,-20,8
44,0.4854368932038835,-15,8
45,0.038834951456310676,-10,8
46,0.1650485436893204,-5,8
47,-0.44660194174757284,0,8
48,-0.32038834951456313,5,8
49,-0.038834951456310676,10,8
50,-0.13592233009708737,15,8
51,-0.3786407766990291,20,8
52,-0.1262135922330097,25,8
53,0.0,30,8
54,0.4174757281553398,-100,7
55,0.3883495145631068,-95,7
56,0.1650485436893204,-90,7
57,0.3592233009708738,-85,7
58,-0.08737864077669903,-80,7
59,0.20388349514563106,-75,7
60,0.06796116504854369,-70,7
61,0.07766990291262135,-65,7
62,0.2912621359223301,-60,7
63,0.10679611650485436,-55,7
64,0.24271844660194175,-50,7
65,0.05825242718446602,-45,7
66,0.2912621359223301,-40,7
67,0.6504854368932039,-35,7
68,0.36893203883495146,-30,7
69,0.3106796116504854,-25,7
70,1.1359223300970873,-20,7
71,0.9902912621359223,-15,7
72,0.7087378640776699,-10,7
73,1.2718446601941749,-5,7
74,-0.1553398058252427,0,7
75,-0.10679611650485436,5,7
76,0.5242718446601942,10,7
77,-0.44660194174757284,15,7
78,-0.4854368932038835,20,7
79,-0.3592233009708738,25,7
80,-0.23300970873786409,30,7
81,0.9514563106796117,-100,6
82,0.30097087378640774,-95,6
83,0.27184466019417475,-90,6
84,-0.1650485436893204,-85,6
85,-0.46601941747572817,-80,6
86,0.27184466019417475,-75,6
87,-0.05825242718446602,-70,6
88,-0.5825242718446602,-65,6
