,additional_events,time,distance
0,0.0024242424242424242,-100,9
1,0.0048484848484848485,-95,9
2,0.03151515151515152,-90,9
3,0.013333333333333334,-85,9
4,-0.014545454545454545,-80,9
5,-0.02181818181818182,-75,9
6,-0.041212121212121214,-70,9
7,0.019393939393939394,-65,9
8,-0.0024242424242424242,-60,9
9,0.024242424242424242,-55,9
10,0.0024242424242424242,-50,9
11,-0.014545454545454545,-45,9
12,0.007272727272727273,-40,9
13,-0.0036363636363636364,-35,9
14,-0.0048484848484848485,-30,9
15,-0.009696969696969697,-25,9
16,-0.01818181818181818,-20,9
17,-0.01696969696969697,-15,9
18,-0.03393939393939394,-10,9
19,-0.01696969696969697,-5,9
20,-0.06060606060606061,0,9
21,-0.06545454545454546,5,9
22,-0.01696969696969697,10,9
23,0.0048484848484848485,15,9
24,-0.008484848484848486,20,9
25,-0.02666666666666667,25,9
26,-0.025454545454545455,30,9
27,-0.11757575757575757,-100,8
28,-0.16,-95,8
29,-0.05454545454545454,-90,8
30,0.012121212121212121,-85,8
31,-0.05333333333333334,-80,8
32,0.02666666666666667,-75,8
33,-0.05818181818181818,-70,8
34,-0.0036363636363636364,-65,8
35,-0.10424242424242425,-60,8
36,-0.16363636363636364,-55,8
37,-0.04,-50,8
38,-0.10545454545454545,-45,8
39,0.08363636363636363,-40,8
40,-0.19636363636363635,-35,8
41,0.07272727272727272,-30,8
42,0.08363636363636363,-25,8
43,0.14424242424242426,-20,8
44,0.05696969696969697,-15,8
45,-0.06060606060606061,-10,8
46,0.06303030303030303,-5,8
47,-0.05696969696969697,0,8
48,-0.3381818181818182,5,8
49,-0.3321212121212121,10,8
50,-0.12121212121212122,15,8
51,-0.052121212121212124,20,8
52,0.10666666666666667,25,8
53,-0.21696969696969698,30,8
54,0.09333333333333334,-100,7
55,-0.21333333333333335,-95,7
56,-0.7636363636363637,-90,7
57,-0.2727272727272727,-85,7
58,-0.3006060606060606,-80,7
59,0.25696969696969696,-75,7
60,-0.21454545454545454,-70,7
61,-0.02181818181818182,-65,7
62,-0.7515151515151515,-60,7
63,-0.17454545454545456,-55,7
64,0.21818181818181817,-50,7
65,-0.41575757575757577,-45,7
66,0.4012121212121212,-40,7
67,-0.2812121212121212,-35,7
68,0.15636363636363637,-30,7
69,0.6339393939393939,-25,7
70,0.8678787878787879,-20,7
71,0.4715151515151515,-15,7
72,0.2824242424242424,-10,7
73,0.05696969696969697,-5,7
74,-0.6896969696969697,0,7
75,-1.646060606060606,5,7
76,-1.0412121212121213,10,7
77,-0.9890909090909091,15,7
78,0.23030303030303031,20,7
79,0.03636363636363636,25,7
80,-0.2290909090909091,30,7
81,0.0012121212121212121,-100,6
82,-0.5866666666666667,-95,6
83,-0.04363636363636364,-90,6
84,-1.0072727272727273,-85,6
85,-0.28,-80,6
86,-0.19515151515151516,-75,6
87,0.09333333333333334,-70,6
88,-0.4084848484848485,-65,6
89,-0.41333333333333333,-60,6
90,-0.09575757575757576,-55,6
91,0.04242424242424243,-50,6
92,-0.9381818181818182,-45,6
93,-0.3296969696969697,-40,6
94,-0.10181818181818182,-35,6
95,0.6642424242424242,-30,6
96,0.6484848484848484,-25,6
97,1.0145454545454546,-20,6
98,1.5357575757575757,-15,6
99,1.1696969696969697,-10,6
100,1.2957575757575757,-5,6
101,-0.32484848484848483,0,6
102,-1.5903030303030303,5,6
