additional_events,time,distance,dend_type
-0.033939394,-70,2,apic
-0.071515152,-65,2,apic
-0.124848485,-60,2,apic
-0.075151515,-55,2,apic
-0.128484848,-50,2,apic
-0.116363636,-45,2,apic
-0.029090909,-40,2,apic
0.088484848,-35,2,apic
0.088484848,-30,2,apic
0.223030303,-25,2,apic
0.406060606,-20,2,apic
0.471515152,-15,2,apic
0.427878788,-10,2,apic
0.385454545,-5,2,apic
0.583030303,0,2,apic
0.081212121,5,2,apic
-0.128484848,10,2,apic
-0.093333333,15,2,apic
-0.12,20,2,apic
-0.058181818,25,2,apic
0.08,30,2,apic
-0.018181818,35,2,apic
-0.052121212,-95,1,apic
-0.027878788,-90,1,apic
0.077575758,-85,1,apic
-0.015757576,-80,1,apic
-0.00969697,-75,1,apic
-0.023030303,-70,1,apic
-0.037575758,-65,1,apic
-0.010909091,-60,1,apic
-0.08969697,-55,1,apic
-0.11030303,-50,1,apic
-0.12969697,-45,1,apic
-0.031515152,-40,1,apic
0.050909091,-35,1,apic
0.065454545,-30,1,apic
0.168484848,-25,1,apic
0.149090909,-20,1,apic
0.406060606,-15,1,apic
0.338181818,-10,1,apic
0.197575758,-5,1,apic
0.598787879,0,1,apic
0.122424242,5,1,apic
-0.038787879,10,1,apic
-0.059393939,15,1,apic
0.020606061,20,1,apic
-0.037575758,25,1,apic
0.056969697,30,1,apic
-0.025454545,35,1,apic
-0.007272727,-95,0,apic
0.007272727,-90,0,apic
-0.042424242,-85,0,apic
-0.029090909,-80,0,apic
-0.189090909,-75,0,apic
0.018181818,-70,0,apic
-0.019393939,-65,0,apic
-0.043636364,-60,0,apic
-0.013333333,-55,0,apic
-0.044848485,-50,0,apic
-0.014545455,-45,0,apic
0.001212121,-40,0,apic
0.031515152,-35,0,apic
-0.007272727,-30,0,apic
0.130909091,-25,0,apic
0.025454545,-20,0,apic
0.275151515,-15,0,apic
0.170909091,-10,0,apic
0.075151515,-5,0,apic
0.185454545,0,0,apic
0.309090909,5,0,apic
0.027878788,10,0,apic
0.006060606,15,0,apic
0.023030303,20,0,apic
0.014545455,25,0,apic
0.065454545,30,0,apic
0,35,0,apic
-0.064242424,-95,9,basal
-0.031515152,-90,9,basal
0.059393939,-85,9,basal
-0.050909091,-80,9,basal
-0.076363636,-75,9,basal
-0.020606061,-70,9,basal
-0.042424242,-65,9,basal
0.03030303,-60,9,basal
-0.024242424,-55,9,basal
-0.031515152,-50,9,basal
0.025454545,-45,9,basal
0.075151515,-40,9,basal
-0.004848485,-35,9,basal
-0.002424242,-30,9,basal
-0.136969697,-25,9,basal
-0.008484848,-20,9,basal
-0.055757576,-15,9,basal
-0.111515152,-10,9,basal
-0.018181818,-5,9,basal
0.088484848,0,9,basal
-0.04,5,9,basal
-0.061818182,10,9,basal
-0.00969697,15,9,basal
-0.086060606,20,9,basal
-0.082424242,25,9,basal
-0.031515152,30,9,basal
-0.096969697,35,9,basal
-0.126060606,-95,8,basal
0.069090909,-90,8,basal
-0.023030303,-85,8,basal
-0.067878788,-80,8,basal
-0.143030303,-75,8,basal
-0.04,-70,8,basal
-0.126060606,-65,8,basal
-0.099393939,-60,8,basal
-0.078787879,-55,8,basal
-0.029090909,-50,8,basal
-0.023030303,-45,8,basal
-0.026666667,-40,8,basal
0.006060606,-35,8,basal
-0.054545455,-30,8,basal
0.018181818,-25,8,basal
0.161212121,-20,8,basal
-0.126060606,-15,8,basal
-0.046060606,-10,8,basal
-0.24969697,-5,8,basal
-0.153939394,0,8,basal
-0.349090909,5,8,basal
-0.123636364,10,8,basal
-0.107878788,15,8,basal
-0.012121212,20,8,basal
-0.133333333,25,8,basal
-0.128484848,30,8,basal
-0.118787879,35,8,basal
-0.096969697,-95,7,basal
-0.023030303,-90,7,basal
-0.048484848,-85,7,basal
-0.025454545,-80,7,basal
-0.075151515,-75,7,basal
-0.018181818,-70,7,basal
-0.164848485,-65,7,basal
-0.126060606,-60,7,basal
-0.064242424,-55,7,basal
-0.020606061,-50,7,basal
-0.094545455,-45,7,basal
0.048484848,-40,7,basal
-0.060606061,-35,7,basal
-0.082424242,-30,7,basal
0.007272727,-25,7,basal
0.203636364,-20,7,basal
-0.042424242,-15,7,basal
0.073939394,-10,7,basal
-0.252121212,-5,7,basal
-0.054545455,0,7,basal
-0.469090909,5,7,basal
-0.073939394,10,7,basal
-0.213333333,15,7,basal
-0.136969697,20,7,basal
-0.104242424,25,7,basal
-0.002424242,30,7,basal
-0.128484848,35,7,basal
-0.144242424,-95,6,basal
-0.042424242,-90,6,basal
-0.084848485,-85,6,basal
-0.083636364,-80,6,basal
-0.026666667,-75,6,basal
-0.109090909,-70,6,basal
-0.139393939,-65,6,basal
-0.032727273,-60,6,basal
-0.058181818,-55,6,basal
0.016969697,-50,6,basal
